,file,page,nb_pages,path,commune,section,parcelle,authorized_area,forbidden_area,no_authorization_needed_area
92,data/doc/raw/2020/2020-06-02_RAA-2020-103.pdf,10,3,data/doc/pdfa/2020/2020-06-02_R02-2020-05-06-002.pdf,CASE-PILOTE,B,1942,0.1014,0.0,0
93,data/doc/raw/2020/2020-10-01_RAA-2020-221.pdf,3,3,data/doc/pdfa/2020/2020-10-01_R02-2020-09-28-009.pdf,SAINT-PIERRE,|,"176, 177",4.02,0.0,0
94,data/doc/raw/2020/2020-10-01_RAA-2020-221.pdf,7,2,data/doc/pdfa/2020/2020-10-01_R02-2020-09-28-008.pdf,LES TROIS-ÎLETS,B,966,0.0,0.0,0
95,data/doc/raw/2020/2020-05-01_RAA-2020-090.pdf,3,3,data/doc/pdfa/2020/2020-05-01_R02-2020-04-24-010.pdf,MARIN,À,249,0.65,0.0,0
96,data/doc/raw/2020/2020-05-01_RAA-2020-090.pdf,7,3,data/doc/pdfa/2020/2020-05-01_R02-2020-04-24-011.pdf,SCHOELCHER,E,356,0.1966,0.0,0
97,data/doc/raw/2020/2020-11-26_RAA-2020-263.pdf,15,4,data/doc/pdfa/2020/2020-11-26_R02-2020-11-20-006.pdf,LE FRANÇOIS,C,1500,1.3993000000000002,0.5011,0
98,data/doc/raw/2020/2020-02-11_RAA-2020-019.pdf,31,3,data/doc/pdfa/2020/2020-02-11_R02-2020-01-24-003.pdf,LE LAMENTIN,S,239,0.397,0.0853,0
99,data/doc/raw/2020/2020-02-11_RAA-2020-019.pdf,35,3,data/doc/pdfa/2020/2020-02-11_R02-2020-02-04-007.pdf,SAINTE-LUCE,D,1704,0.062,0.088,0
100,data/doc/raw/2020/2020-09-01_RAA-2020-189.pdf,9,3,data/doc/pdfa/2020/2020-09-01_R02-2020-08-27-004.pdf,LA TRINITÉ,V,312,0.1169,0.5131,0
101,data/doc/raw/2020/2020-09-01_RAA-2020-189.pdf,13,3,data/doc/pdfa/2020/2020-09-01_R02-2020-08-27-005.pdf,LES TROIS-ÎLETS,|,402,0.1053,0.18359999999999999,0
102,data/doc/raw/2020/2020-09-01_RAA-2020-189.pdf,17,3,data/doc/pdfa/2020/2020-09-01_R02-2020-08-27-003.pdf,LES TROIS-ÎLETS,K,"321, 322",0.1373,0.45,0
103,data/doc/raw/2020/2020-09-01_RAA-2020-189.pdf,21,3,data/doc/pdfa/2020/2020-09-01_R02-2020-08-27-002.pdf,LES TROIS-ÎLETS,K,320,0.2208,0.2122,0
104,data/doc/raw/2020/2020-01-13_RAA-2020-003.pdf,20,4,data/doc/pdfa/2020/2020-01-13_R02-2020-01-06-001.pdf,LES ANSES-D'ARLET,C,380,2.1786,1.8612,0
105,data/doc/raw/2020/2020-01-13_RAA-2020-003.pdf,25,3,data/doc/pdfa/2019/2020-01-13_R02-2019-12-23-007.pdf,CASE-PILOTE,B,970,0.0,0.36,0
106,data/doc/raw/2020/2020-01-13_RAA-2020-003.pdf,29,3,data/doc/pdfa/2020/2020-01-13_R02-2020-01-06-002.pdf,LE ROBERT,C,380,0.3591,0.053700000000000005,0
107,data/doc/raw/2020/2020-01-13_RAA-2020-003.pdf,33,3,data/doc/pdfa/2020/2020-01-13_R02-2020-01-23-001.pdf,LES ANSES-D'ARLET,B,91,0.0,0.1201,0
108,data/doc/raw/2020/2020-10-27_RAA-2020-238.pdf,8,3,data/doc/pdfa/2020/2020-10-27_R02-2020-10-15-005.pdf,SCHŒLCHER,H,788,0.08310000000000001,0.0,0
109,data/doc/raw/2020/2020-10-27_RAA-2020-238.pdf,12,5,data/doc/pdfa/2020/2020-10-27_R02-2020-10-12-001.pdf,LE MARIN,|,584,0.0517,0.07410000000000001,0
110,data/doc/raw/2020/2020-10-27_RAA-2020-238.pdf,18,3,data/doc/pdfa/2020/2020-10-27_R02-2020-10-14-006.pdf,LES ANSES-D'ARLET,C,151,0.0,0.14300000000000002,0
111,data/doc/raw/2020/2020-11-05_RAA-2020-244.pdf,14,4,data/doc/pdfa/2020/2020-11-05_R02-2020-10-28-006.pdf,SAINT-ESPRIT,W,541,0.31679999999999997,0.1165,0
